session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,failed_logins,browser_type,unusual_time_access,attack_detected,ip_reputation_score_least_trustworthy,ip_reputation_score_suspicious,ip_reputation_score_excellent_reputation,risk_score,risk_level
SID_00001,599,1,4,492.9832634426563,1,1,Edge,0,1,False,False,True,1,Low
SID_00002,472,1,3,1557.9964611204384,1,0,Firefox,0,0,False,True,False,1,Low
SID_00003,629,1,3,75.04426166420741,1,2,Chrome,0,1,False,False,True,1,Low
SID_00004,804,2,4,601.2488351708328,1,0,Unknown,0,1,True,False,False,0,Low
SID_00005,453,1,5,532.5408884201419,0,1,Firefox,0,0,True,False,False,0,Low
SID_00006,453,2,5,380.4715502453134,0,2,Chrome,1,0,False,True,False,2,Medium
SID_00007,815,0,4,728.1071646972356,0,1,Chrome,0,1,False,True,False,1,Low
SID_00008,653,1,3,12.5999060098958,1,3,Chrome,1,1,True,False,False,1,Low
SID_00009,406,1,2,542.5588952208974,2,0,Chrome,1,0,True,False,False,1,Low
SID_00010,608,2,6,531.9441066211396,2,1,Chrome,0,0,False,True,False,1,Low
SID_00011,407,2,6,580.7219253670751,1,3,Firefox,0,1,True,False,False,0,Low
SID_00012,406,2,9,191.0528369326706,1,1,Edge,0,1,False,True,False,2,Medium
SID_00013,548,1,2,186.1476383415076,2,2,Safari,1,0,False,True,False,2,Medium
SID_00014,117,1,4,833.4889649491395,1,2,Unknown,0,1,False,True,False,1,Low
SID_00015,155,1,3,77.84995157439054,2,3,Chrome,0,1,False,True,False,1,Low
SID_00016,387,0,6,292.1361960073892,1,3,Chrome,0,1,True,False,False,0,Low
SID_00017,297,1,8,1421.414371761036,0,3,Firefox,0,1,False,True,False,1,Low
SID_00018,562,2,1,87.64100168835026,2,2,Firefox,0,0,True,False,False,0,Low
SID_00019,318,1,5,504.98866997657433,0,1,Unknown,0,1,False,True,False,1,Low
SID_00020,217,0,2,883.6175678484254,1,0,Chrome,0,0,False,True,False,1,Low
